date, unix, total_users, total_completed_tutorials, average_completed_tutorials
2015-02-12 21:48,1423777727.0,79,689,8.72
2015-02-12 21:51,1423777863.0,79,689,8.72
2015-02-13 06:00,1423807202.0,81,704,8.69
2015-02-13 06:01,1423807261.0,81,704,8.69
2015-02-13 06:02,1423807322.0,81,704,8.69
2015-02-13 06:03,1423807382.0,81,704,8.69
2015-02-13 06:04,1423807442.0,81,704,8.69
2015-02-13 06:05,1423807501.0,81,704,8.69
2015-02-13 06:06,1423807561.0,81,704,8.69
2015-02-13 06:07,1423807622.0,81,704,8.69
2015-02-13 06:08,1423807682.0,81,704,8.69
2015-02-13 06:09,1423807742.0,81,704,8.69
2015-02-13 06:10,1423807802.0,81,704,8.69
2015-02-13 06:11,1423807861.0,81,704,8.69
2015-02-13 06:12,1423807921.0,81,704,8.69
2015-02-13 06:13,1423807982.0,81,704,8.69
2015-02-13 06:14,1423808042.0,81,704,8.69
2015-02-13 06:15,1423808102.0,81,704,8.69
2015-02-13 06:16,1423808162.0,81,704,8.69
2015-02-13 06:17,1423808222.0,81,704,8.69
2015-02-13 06:18,1423808281.0,81,704,8.69
2015-02-13 06:19,1423808341.0,81,704,8.69
2015-02-13 06:20,1423808402.0,81,704,8.69
2015-02-13 06:21,1423808462.0,81,704,8.69
2015-02-13 06:22,1423808522.0,81,704,8.69
2015-02-13 06:23,1423808582.0,81,704,8.69
2015-02-13 06:24,1423808641.0,81,704,8.69
2015-02-13 06:25,1423808702.0,81,704,8.69
2015-02-13 06:26,1423808762.0,81,704,8.69
2015-02-13 06:27,1423808822.0,81,704,8.69
2015-02-13 06:28,1423808881.0,81,704,8.69
2015-02-13 06:29,1423808941.0,81,704,8.69
2015-02-13 06:30,1423809001.0,81,704,8.69
2015-02-13 06:31,1423809062.0,81,704,8.69
2015-02-13 06:32,1423809122.0,81,704,8.69
2015-02-13 06:33,1423809182.0,81,704,8.69
2015-02-13 06:34,1423809242.0,81,704,8.69
2015-02-13 06:35,1423809301.0,81,704,8.69
2015-02-13 06:36,1423809361.0,81,704,8.69
2015-02-13 06:37,1423809421.0,81,704,8.69
2015-02-13 06:38,1423809482.0,81,704,8.69
2015-02-13 06:39,1423809542.0,81,704,8.69
2015-02-13 06:40,1423809602.0,81,704,8.69
2015-02-13 06:41,1423809662.0,81,704,8.69
2015-02-13 06:42,1423809721.0,81,704,8.69
2015-02-13 06:43,1423809781.0,81,704,8.69
2015-02-13 06:44,1423809842.0,81,704,8.69
2015-02-13 06:45,1423809902.0,81,704,8.69
2015-02-13 06:46,1423809962.0,81,704,8.69
2015-02-13 06:47,1423810022.0,81,704,8.69
2015-02-13 06:48,1423810081.0,81,704,8.69
2015-02-13 06:49,1423810141.0,81,704,8.69
2015-02-13 06:50,1423810201.0,81,704,8.69
2015-02-13 06:51,1423810262.0,81,704,8.69
2015-02-13 06:52,1423810322.0,81,704,8.69
2015-02-13 06:53,1423810382.0,81,704,8.69
2015-02-13 06:54,1423810442.0,81,704,8.69
2015-02-13 06:55,1423810501.0,81,704,8.69
2015-02-13 06:56,1423810561.0,81,704,8.69
2015-02-13 06:57,1423810622.0,81,704,8.69
2015-02-13 06:58,1423810682.0,81,704,8.69
2015-02-13 06:59,1423810742.0,81,704,8.69
2015-02-14 06:00,1423893601.0,88,760,8.64
2015-02-14 06:01,1423893662.0,88,760,8.64
2015-02-14 06:02,1423893722.0,88,760,8.64
2015-02-14 06:03,1423893782.0,88,760,8.64
2015-02-14 06:04,1423893842.0,88,760,8.64
2015-02-14 06:05,1423893902.0,88,760,8.64
2015-02-14 06:06,1423893962.0,88,760,8.64
2015-02-14 06:07,1423894021.0,88,760,8.64
2015-02-14 06:08,1423894081.0,88,760,8.64
2015-02-14 06:09,1423894142.0,88,760,8.64
2015-02-14 06:10,1423894202.0,88,760,8.64
2015-02-14 06:11,1423894262.0,88,760,8.64
2015-02-14 06:12,1423894322.0,88,760,8.64
2015-02-14 06:13,1423894381.0,88,760,8.64
2015-02-14 06:14,1423894441.0,88,760,8.64
2015-02-14 06:15,1423894502.0,88,760,8.64
2015-02-14 06:16,1423894562.0,88,760,8.64
2015-02-14 06:17,1423894622.0,88,760,8.64
2015-02-14 06:18,1423894682.0,88,760,8.64
2015-02-14 06:19,1423894741.0,88,760,8.64
2015-02-14 06:20,1423894801.0,88,760,8.64
2015-02-14 06:21,1423894861.0,88,760,8.64
2015-02-14 06:22,1423894922.0,88,760,8.64
2015-02-14 06:23,1423894982.0,88,760,8.64
2015-02-14 06:24,1423895042.0,88,760,8.64
2015-02-14 06:25,1423895103.0,88,760,8.64
2015-02-14 06:26,1423895162.0,88,760,8.64
2015-02-14 06:27,1423895222.0,88,760,8.64
2015-02-14 06:28,1423895282.0,88,760,8.64
2015-02-14 06:29,1423895341.0,88,760,8.64
2015-02-14 06:30,1423895401.0,88,760,8.64
2015-02-14 06:31,1423895461.0,88,760,8.64
2015-02-14 06:32,1423895522.0,88,760,8.64
2015-02-14 06:33,1423895581.0,88,760,8.64
2015-02-14 06:34,1423895642.0,88,760,8.64
2015-02-14 06:35,1423895702.0,88,760,8.64
2015-02-14 06:36,1423895762.0,88,760,8.64
2015-02-14 06:37,1423895822.0,88,760,8.64
2015-02-14 06:38,1423895881.0,88,760,8.64
2015-02-14 06:39,1423895941.0,88,760,8.64
2015-02-14 06:40,1423896002.0,88,760,8.64
2015-02-14 06:41,1423896062.0,88,760,8.64
2015-02-14 06:42,1423896122.0,88,760,8.64
2015-02-14 06:43,1423896182.0,88,760,8.64
2015-02-14 06:44,1423896241.0,88,760,8.64
2015-02-14 06:45,1423896301.0,88,760,8.64
2015-02-14 06:46,1423896361.0,88,760,8.64
2015-02-14 06:47,1423896422.0,88,760,8.64
2015-02-14 06:48,1423896482.0,88,760,8.64
2015-02-14 06:49,1423896542.0,88,760,8.64
2015-02-14 06:50,1423896602.0,88,760,8.64
2015-02-14 06:51,1423896661.0,88,760,8.64
2015-02-14 06:52,1423896721.0,88,760,8.64
2015-02-14 06:53,1423896782.0,88,760,8.64
2015-02-14 06:54,1423896842.0,88,760,8.64
2015-02-14 06:55,1423896902.0,88,760,8.64
2015-02-14 06:56,1423896962.0,88,760,8.64
2015-02-14 06:57,1423897021.0,88,762,8.66
2015-02-14 06:58,1423897081.0,88,764,8.68
2015-02-14 06:59,1423897142.0,88,764,8.68
2015-02-15 06:00,1423980002.0,95,844,8.88
2015-02-15 06:01,1423980062.0,95,844,8.88
2015-02-15 06:02,1423980121.0,95,844,8.88
2015-02-15 06:03,1423980182.0,95,844,8.88
2015-02-15 06:04,1423980242.0,95,844,8.88
2015-02-15 06:05,1423980302.0,95,844,8.88
2015-02-15 06:06,1423980361.0,95,844,8.88
2015-02-15 06:07,1423980421.0,95,844,8.88
2015-02-15 06:08,1423980482.0,95,844,8.88
2015-02-15 06:09,1423980542.0,95,844,8.88
2015-02-15 06:10,1423980602.0,95,844,8.88
